seed,n_dims,n_bytes,monobit_test_exact,frequency_within_block_test_exact,runs_test_exact,longest_run_ones_in_a_block_test_exact,binary_matrix_rank_test_exact,dft_test_exact,non_overlapping_template_matching_test_exact,overlapping_template_matching_test_exact,maurers_universal_test_exact,linear_complexity_test_exact,serial_test_exact,approximate_entropy_test_exact,cumulative_sums_test_exact,random_excursion_test_exact,random_excursion_variant_test_exact,monobit_test_diag,frequency_within_block_test_diag,runs_test_diag,longest_run_ones_in_a_block_test_diag,binary_matrix_rank_test_diag,dft_test_diag,non_overlapping_template_matching_test_diag,overlapping_template_matching_test_diag,maurers_universal_test_diag,linear_complexity_test_diag,serial_test_diag,approximate_entropy_test_diag,cumulative_sums_test_diag,random_excursion_test_diag,random_excursion_variant_test_diag,monobit_test_tridiag,frequency_within_block_test_tridiag,runs_test_tridiag,longest_run_ones_in_a_block_test_tridiag,binary_matrix_rank_test_tridiag,dft_test_tridiag,non_overlapping_template_matching_test_tridiag,overlapping_template_matching_test_tridiag,maurers_universal_test_tridiag,linear_complexity_test_tridiag,serial_test_tridiag,approximate_entropy_test_tridiag,cumulative_sums_test_tridiag,random_excursion_test_tridiag,random_excursion_variant_test_tridiag,monobit_test_dense,frequency_within_block_test_dense,runs_test_dense,longest_run_ones_in_a_block_test_dense,binary_matrix_rank_test_dense,dft_test_dense,non_overlapping_template_matching_test_dense,overlapping_template_matching_test_dense,maurers_universal_test_dense,linear_complexity_test_dense,serial_test_dense,approximate_entropy_test_dense,cumulative_sums_test_dense,random_excursion_test_dense,random_excursion_variant_test_dense
19,10,150000,0.18866651767868536,0.9468215738161804,0.33401058845625,0.5518876324692144,0.5310737087088964,0.8341149529029597,1.0000000411887935,0.5819292737779125,0.5747100049705715,0.8353901624436713,0.21194242777593486,0.23352563832166193,0.17359168400655745,0.1489514836707838,0.02676889778513554,0.7715921276478699,0.5462745097580164,0.07718782322046869,0.6949446326963211,0.03019976563428235,0.054013539213384476,0.9999447667726794,0.5681576593211818,0.9653028438939473,0.45038599094840137,0.09283020278836808,0.09350806788321685,0.3692752183610901,0.27538788565107475,0.06361735444216388,0.14715920452502296,0.09304512978483434,0.2515219579119632,0.38509727736037275,0.5862406475237987,0.28737901975598057,0.9999999920606992,0.19268290078245529,0.08054117205543976,0.33142643853789233,0.6649637674504502,0.6646097716205172,0.20603725350761803,0.35230971903469765,0.005140282562387731,0.05184541691822575,0.164798628342856,0.7913690426404265,0.7925037818249625,0.508318076091366,0.4712610709254935,0.9999999607172474,0.1029322412530874,0.30564294724795094,0.20228219329020794,0.5521647133049511,0.5520690269608363,0.03897865693840252,0.027462509578550728,0.07713366844120573
14,10,150000,0.7218258402177062,0.5659732368196014,0.8881086481198478,0.29330354333671166,0.4578458911685007,0.19995037573443109,1.0000008114261971,0.38979069989036497,0.7013676900607462,0.8889827427797198,0.4158514550034643,0.779006848893499,0.6692445015012174,0.01296428749987846,0.009171393407967356,0.563983752809759,0.7045498521748348,0.4315212668152122,0.47071262189002716,0.015247743794356016,0.04350012613369836,1.0000000025908504,0.5987567054690647,0.3192172001666289,0.44373640820161836,0.5692075504104409,0.5688203939720674,0.3474575399653874,0.26065407354499354,0.12587971138393605,0.28139642076637006,0.7279953042544458,0.09538116722980683,0.5875115839229953,0.047832811085394646,0.17743026570719034,0.9999999963931695,0.7774554340922734,0.5608600402944336,0.21802748648103742,0.3481248666443662,0.37081990520422803,0.3025219486960582,0.1378728324979297,0.005480536142790614,0.7109164139684272,0.5767484016971854,0.2448813167845707,0.38981741813681303,0.09865018821791638,0.5689210003790838,0.9999988981620187,0.9413752736918909,0.0013965379245956997,0.9216450439754247,0.29016117217201615,0.4751977875296686,0.8223466627685512,0.07400970885001684,0.04934327547047046
11,10,150000,0.5541584196190095,0.13626776752462408,0.7234328692463226,0.23033335075427094,0.4665693240262008,0.11920088468144319,1.0000009471608957,0.7835386147707687,0.1459878626328075,0.013903200111868621,0.8379495482030823,0.9453364159561107,0.23022445033620187,0.046179600918050095,0.14343261961360998,0.8925289380249652,0.05165524318336329,0.308322946187672,0.9697512172544595,0.2884889942525688,0.24425633138400094,0.9999999910840894,0.867100849906882,0.34309566323699325,0.5173565463810235,0.4072107694806786,0.5579476340620826,0.4879608311653103,0.03962235087825076,0.042113213685736395,0.5228166539190888,0.37592929072721687,0.7601591900153194,0.4152889185742616,0.19563793671713037,0.7438902250691999,1.0000000041667376,0.985429101517304,0.5178333778871169,0.2472021496209259,0.020341912313470753,0.09528208251404062,0.6565127539728541,0.0006676256204181805,0.29861767444880993,0.30658431555590815,0.7557103732688677,0.6343844685358216,0.4026619157752793,0.6141900767724611,0.20589326613380177,0.9999947180094267,0.4627568689999351,0.7641153413274031,0.34242309618925126,0.6400219390572163,0.8048570319434366,0.41519599131381657,0.054079095529502214,0.0802953984434518
21,10,150000,0.5275785602867944,0.5325931680636167,0.39164525393233474,0.7600309807284551,0.8553873113005098,0.3836361547440992,1.0000185961593313,0.9290823108163445,0.03204493465064061,0.28867676477051635,0.15189138138613725,0.40583295842184497,0.29074406514085127,0.0496441727779623,0.16838756683613187,0.6906215428496917,0.2194521215585025,0.30393222920706053,0.008274122066312452,0.5907803700406689,0.056136583985251565,0.9999999988418354,0.39897519258127806,0.7342141040018915,0.8088138725767694,0.1486674128636579,0.4163070047414128,0.5399462720331984,0.03339956492702565,0.3189101109331628,0.6987138074882938,0.6133758394077977,0.1807642187200904,0.3431603416248072,0.814954408303726,0.6211313184435968,1.0000003285729646,0.46574535316517074,0.11416764243872735,0.010603794477725581,0.17250684668461103,0.17046784825918712,0.47636777093784666,0.06540460826723898,0.0044196840569357,0.0,0.0,0.0,0.7040125032359058,0.0006699805089032558,4.6628201415009557e-306,0.9995055568262302,0.4106926079983859,0.0,0.12602547157175897,0.0,0.0,0.0,0.10379487698124035,0.14266762656688836
27,10,150000,0.5504956383087856,0.42605924127266503,0.026266153312201265,0.03728637586406946,0.45377498360223767,0.3107610278257429,1.0000000239961617,0.33965896432499715,0.8732814854656887,0.6112643233480035,0.5162306997319361,0.517218220520321,0.7709495206077519,0.05633842855426771,0.22596602036331281,0.6812251198082595,0.08342314329287408,0.0021200512273380147,0.7121176123198417,0.7515408087082205,0.3928490707351747,0.9999999983191864,0.44289281007342585,0.5512306733500847,0.4646489553502194,0.14704084533217635,0.1467626938544121,0.8703579436415079,0.21621040438434314,0.16427706254548136,0.4753106204739974,0.45691276442328427,0.9508733755728869,0.5611476082194038,0.8393251464857777,0.6093498186925731,1.0000771137712798,0.5679985009747153,0.4310643857896067,0.7176669295689205,0.44171748463172195,0.7200591136324311,0.7111488721948815,0.1588612137523956,0.08584407405594885,0.20059963899841138,0.1558712315697277,0.9929800907083546,0.7028795058579658,0.8375307278622117,0.9933161368407719,1.0000013499740394,0.8188008880555941,0.42136736828847765,0.18654509305520917,0.8963934485811177,0.9025522157591536,0.1634211987143115,0.017857933693891964,0.19208376290948226
13,10,150000,0.27252300661851736,0.5912373891586763,0.40161354471979305,0.4777070570803333,0.3708184405700743,0.9000040960811826,1.0000416841398116,0.15011574160629756,0.7662784098689202,0.65357121949547,0.6967194927359557,0.8047957621775087,0.19398887909232077,0.036327782809986574,0.2023379683255664,0.43994339379660563,0.5641657266762435,0.7669896905932391,0.7052437373779731,0.14972552168233344,0.7375623808299625,1.0000000856965319,0.3708149227191692,0.2698035412457972,0.8033779479517814,0.43079689099148255,0.4316611782962167,0.35559858873821937,0.3931235290736141,0.21208911610078085,0.42389915942766376,0.4136184665437289,0.6511245774472851,0.7588349937948698,0.4404907008382063,0.2688242136396354,1.000000356647143,0.37330100791519466,0.5649795562664474,0.562077373134286,0.5995441393006932,0.701740353049571,0.2917541467894269,0.0907418527877734,0.2189749513099587,0.6665592050648156,0.7169668829508876,0.5396912935137379,0.2946258267940823,0.7145772097510513,0.01141023217375891,0.9999999995435066,0.3974958839266123,0.9121749494125243,0.4557263748964682,0.29979079702899075,0.5402925414447246,0.5924628866583987,0.0922777795739265,0.24880088736285422
1,10,150000,0.23317913541028146,0.6423888923933448,0.6019247896930069,0.004117181220897321,0.6309782351717806,0.26163780775441525,0.9999999995747015,0.9058571495482897,0.7419773576606166,0.04110548404444694,0.1899011175494221,0.3763101389904879,0.10172668040562183,2.23924979161426e-05,0.00590539153259325,0.25080692788822967,0.531574204006284,0.988842661691109,0.9334746337762496,0.23640798678250646,0.24425633138400094,0.9999996542859502,0.7674632527517821,0.0024148008151822194,0.4742763760534441,0.6373272938622951,0.7641920347008307,0.07530695378356822,0.08268622914892541,0.0124193306515523,0.7912154855613374,0.053015805157709775,0.738247691410657,0.486297054416283,0.6776199974228418,0.8933762814326841,0.9999643862193826,0.5705627053313189,0.3287767855919971,0.2080576344060249,0.10795608336298468,0.16324231465971115,0.47564914025996163,0.09633208868010752,0.13976408588149702,0.9258139210588802,0.41419363248833335,0.1554810529943036,0.9499760980962207,0.17857701660709938,0.2029059734693165,0.9999982033945901,0.7551162366918415,0.9336849385085502,0.49126521919943755,0.9328635596836049,0.933138373415327,0.48942247045450404,0.08040893721300683,0.07714786369129101
3,10,150000,0.8795524618755648,0.1630652820751323,0.08952305103615654,0.23666052431080056,0.9223686803364293,0.25809484608398103,0.9999999609769631,0.49111268812947756,0.026539168811991084,0.573665278345179,0.7291778670308348,0.7447894732779433,0.16310134329307613,0.10246798663282457,0.031819060074321774,0.47757169907426555,0.009160655648309158,0.17449793775848177,0.3475236212073564,0.3756772574867398,0.11722842324697957,0.9999999822718157,0.34479741724268204,0.06674028695855228,0.1791959650894291,0.17148277888265614,0.3401630414697727,0.054583155700274055,0.03204471912764485,0.20099425588307973,0.8737952945195835,0.865995321358371,0.34991363744353954,0.11761593286936271,0.26773059842907093,0.5918666327333719,0.9999999996526512,0.05626789248873532,0.7920629384577743,0.0016992528841988607,0.252811186453822,0.2535139475756735,0.934139163528168,0.07069616135565128,0.05078011016050854,0.767405596739417,0.05924588918175532,0.26779897009765596,0.9182198025277882,0.13014304392143577,0.3147767830596361,1.000000081361375,0.6582585587346302,0.2571122072777514,0.21410147761157658,0.5524784685690352,0.5519796609119506,0.7128645407779235,0.05726230094476418,0.03548858412225264
28,10,150000,0.911322747670801,0.6051333935052597,0.153366284907823,0.9215486084640018,0.6982830109457696,0.6211313184435968,1.0000000018872697,0.480561533496684,0.9665215241864857,0.09231258205082359,0.24243887622334748,0.40321033704245113,0.4399379270031074,0.2983629545136585,0.12042350090165221,0.33231127657119197,0.41227146136153625,0.6873002656742344,0.7573826655900134,0.7369252245539886,0.7951033519243295,0.9999974976269935,0.6282299264331059,0.7040220229337479,0.8983875124383081,0.20603215458389426,0.47247039682384423,0.07168842596742575,0.015688685658634377,0.1787440441698931,0.645453811944337,0.08379316257764682,0.2031119029994659,0.8551446427475221,0.5668218895224383,0.12527454797218507,0.9999620634615476,0.48189057441862226,0.9316025630423033,0.26146071864056475,0.8037346828253304,0.8036654596691545,0.10908417815574523,0.19706231684624695,0.1026367991718089,0.5553819917324044,0.21997078099913117,0.5159203781543387,0.6091382525170819,0.3973396474624282,0.4661204629425809,0.9999939439179881,0.9475870476970119,0.5968089038430189,0.3645772142207705,0.3481961418257901,0.7220544563566564,0.7180118300481642,0.014993676740272403,0.018144970856299313
20,10,150000,0.16032019283644916,0.9891034008584096,0.7328115072082637,0.5962643684616644,0.7934246395568108,0.6937857994721265,1.000000013748211,0.8333450066251459,0.4621001276510627,0.535459374952536,0.05831440860645108,0.11308707160124869,0.20449944296178657,0.12296049628742929,0.25854722536959773,0.20059963899841138,0.9509009161932502,0.8391443493680306,0.9159415448967893,0.1917856409971631,0.41167266407756875,0.9999989435190303,0.21843749321087766,0.2053021464047391,0.8455697594362965,0.08427433162539405,0.2285079227996124,0.20758424111611395,0.22935967491561482,0.20185836135534607,0.48211145521817633,0.9683758745821719,0.3981846578521111,0.8806656292668582,0.5382403862657984,0.7886481305182659,0.9999207552424146,0.0775307811099014,0.9935952367589784,0.7806086670836285,0.510203959002458,0.5686353042675739,0.502700954219192,0.10966057656967025,0.00768370730792707,0.2268007552514234,0.06383975044099138,0.04643752422941816,0.42431628252731124,0.8178865845467531,0.9399014688380114,1.0000373732243544,0.3387274608565966,0.05537372936834073,0.15947025998674497,0.2356053841504168,0.23443032247885157,0.16056074612977245,0.24202895229020527,0.12386341468797013
